(0, 0, 0, 0, 0)
(0, 2, 1, 1, -1)
(0, 4, 2, 2, -2)
(0, 6, 3, 3, -3)
(0, 8, 4, 4, -4)
(0, 10, 5, 5, -5)
(0, 12, 6, 6, -6)
(0, 14, 7, 7, -7)
(0, 16, 8, 8, -8)
(0, 18, 9, 9, -9)
(0, 20, 10, 10, -10)
(0, 22, 11, 11, -11)
(0, 24, 12, 12, -12)
(0, 26, 13, 13, -13)
(0, 28, 14, 14, -14)
(0, 30, 15, 15, -15)
(0, 32, 16, 16, -16)
(0, 34, 17, 17, -17)
(0, 36, 18, 18, -18)
(0, 38, 19, 19, -19)
(0, 40, 20, 20, -20)
(0, 42, 21, 21, -21)
(0, 44, 22, 22, -22)
(0, 46, 23, 23, -23)
(0, 48, 24, 24, -24)
(0, 50, 25, 25, -25)
(0, 52, 26, 26, -26)
(0, 54, 27, 27, -27)
(0, 56, 28, 28, -28)
(0, 58, 29, 29, -29)
(0, 60, 30, 30, -30)
(0, 62, 31, 31, -31)
(0, 64, 32, 32, -32)
(0, 66, 33, 33, -33)
(0, 68, 34, 34, -34)
(0, 70, 35, 35, -35)
(0, 72, 36, 36, -36)
(0, 74, 37, 37, -37)
(0, 76, 38, 38, -38)
(0, 78, 39, 39, -39)
(0, 80, 40, 40, -40)
(0, 82, 41, 41, -41)
(0, 84, 42, 42, -42)
(0, 86, 43, 43, -43)
(0, 88, 44, 44, -44)
(0, 90, 45, 45, -45)
(0, 92, 46, 46, -46)
(0, 94, 47, 47, -47)
(0, 96, 48, 48, -48)
(0, 98, 49, 49, -49)
(0, 100, 50, 50, -50)
(0, 102, 51, 51, -51)
(0, 104, 52, 52, -52)
(0, 106, 53, 53, -53)
(0, 108, 54, 54, -54)
(0, 110, 55, 55, -55)
(0, 112, 56, 56, -56)
(0, 114, 57, 57, -57)
(0, 116, 58, 58, -58)
(0, 118, 59, 59, -59)
(0, 120, 60, 60, -60)
(0, 122, 61, 61, -61)
(0, 124, 62, 62, -62)
(0, 126, 63, 63, -63)
